trapped.pig.uniq.id,pot.helper.uniq.id,trial,uniq.group,Test_subj.opens.testbox,Test_subj.opens.emptybox.to20,Sep_rate.open.anybox,daily.test.order.within.group,group.test.order,test.day,related,trapped.before,pothelper.sex,famil.rate.open.anybox,dur.look.testwindow.s,rate.look.testwindow.s.per.min,prop.look.test.window,dur.look.emptywindow.s,rate.look.emptywindow.s.per.min,prop.look.emptywindow,lat.helped.min,trapped.pig.sow,trapped.pig.sex,pothelper.sow,location.test.box,date,Sep_numtimes.open.testbox,Sep_numtimes.open.emptybox,Sep_rate.open.testbox_permin,Sep_rate.open.emptybox_permin,famil.rate.curio.min
DG2_F_2,DG2_F_3,DG2_F2_080920,DG2_F,0,1,0,1,3,2,y,y,Female,0.041666667,6.64,0.574817123,0.009580285,7.48,0.647534952,0.010792249,11.5515,6232,f,6232,front,08.09.20,0,0,0,0,0.55
DG2_F_2,DG2_F_4,DG2_F2_080920,DG2_F,1,0,0,1,3,2,n,n,Male,0.041666667,28.44,2.46201792,0.041033632,5.44,0.470934511,0.007848909,11.5515,6232,f,6235,front,08.09.20,0,0,0,0,0.675
DG2_F_2,DG2_F_5,DG2_F2_080920,DG2_F,0,0,0,1,3,2,n,n,Male,0.016666667,0,0,0,0,0,0,11.5515,6232,f,6235,front,08.09.20,0,0,0,0,0.433333334
DG2_F_2,DG2_F_6,DG2_F2_080920,DG2_F,0,0,0,1,3,2,n,y,Female,0.008333334,85.6,7.410293036,0.123504884,14.8,1.281218889,0.021353648,11.5515,6232,f,6235,front,08.09.20,0,0,0,0,0.383333334
DG2_F_2,DG2_F_7,DG2_F2_080920,DG2_F,0,0,0,1,3,2,n,n,Male,0.066666667,34.658,3.000302991,0.05000505,15.2,1.315846427,0.021930774,11.5515,6232,f,5952,front,08.09.20,0,0,0,0,0.441666667
DG2_F_2,DG2_F_8,DG2_F2_080920,DG2_F,0,0,0,1,3,2,n,n,Male,0,369.4,31.97853093,0.532975515,0,0,0,11.5515,6232,f,5952,front,08.09.20,0,0,0,0,0.516666667
DG2_F_2,DG2_F_9,DG2_F2_080920,DG2_F,0,0,0,1,3,2,n,n,Female,0,48.68,4.21417132,0.070236189,13.64,1.18079903,0.019679984,11.5515,6232,f,5952,front,08.09.20,0,0,0,0,0.3
DG2_F_3,DG2_F_2,DG2_F3_070920,DG2_F,0,0,0,1,1,1,y,n,Female,0.183333334,55.68,2.784,0.0464,4.2,0.21,0.0035,20,6232,f,6232,side,07.09.20,0,0,0,0,0.416666667
DG2_F_3,DG2_F_4,DG2_F3_070920,DG2_F,0,0,0,1,1,1,n,n,Male,0.041666667,0,0,0,0.88,0.044,7.33E-04,20,6232,f,6235,side,07.09.20,0,0,0,0,0.675
DG2_F_3,DG2_F_5,DG2_F3_070920,DG2_F,0,0,0,1,1,1,n,n,Male,0.016666667,0,0,0,7.36,0.368,0.006133333,20,6232,f,6235,side,07.09.20,0,0,0,0,0.433333334
