trapped.pig.unique.id,context,cort,dur.trapped.min,distress.num,distress.rate,invest.sq.z,dur.separated,sample.time.hr,unique.group,sex,trapped.date,test.day,daily.test.order.within.group,outcome
DG3_F_3,post,5.533,1.586833333,1,0.630185905,0.556975951,5.765333333,10.6,DG3_F,w,23.10.20,5,2,Helped
DG3_F_3,pre,3.497,1.586833333,1,0.630185905,0.556975951,5.765333333,8.416666667,DG3_F,w,23.10.20,5,2,Helped
DG3_W_2,post,14.155,2.816166667,30,10.6527786,0.575377141,5.748,14.16666667,DG3_W,m,19.10.20,1,1,Helped
DG3_W_2,pre,2.091,2.816166667,30,10.6527786,0.575377141,5.748,11.66666667,DG3_W,m,19.10.20,1,1,Helped
DG3_W_7,post,7.725,2.040833333,6,2.939975501,-0.458130172,5.78,14.75,DG3_W,m,19.10.20,1,2,Helped
DG3_W_7,pre,5.253,2.040833333,6,2.939975501,-0.458130172,5.78,11.66666667,DG3_W,m,19.10.20,1,2,Helped
DG3_W_4,post,11.501,3.738166667,19,5.082705426,0.541121301,5.838666667,9.916666667,DG3_W,w,20.10.20,2,1,Helped
DG3_W_4,pre,4.084,3.738166667,19,5.082705426,0.541121301,5.838666667,8.416666667,DG3_W,w,20.10.20,2,1,Helped
DG3_W_1,post,7.494,20,1,0.05,-1.525621233,5.785333333,11.25,DG3_W,m,20.10.20,2,2,Not helped
DG3_W_1,pre,2.715,20,1,0.05,-1.525621233,5.785333333,8.416666667,DG3_W,m,20.10.20,2,2,Not helped
DG3_W_9,post,4.571,1.526166667,6,3.931418586,0.437235064,5.61,14.91666667,DG3_W,w,21.10.20,3,1,Helped
DG3_W_9,pre,3.305,1.526166667,6,3.931418586,0.437235064,5.61,12.08333333,DG3_W,w,21.10.20,3,1,Helped
DG3_W_5,post,7.53,0.940833333,1,1.062887511,0.458609993,5.812666667,15.58333333,DG3_W,w,21.10.20,3,2,Helped
DG3_W_5,pre,4.966,0.940833333,1,1.062887511,0.458609993,5.812666667,12.08333333,DG3_W,w,21.10.20,3,2,Helped
DG3_W_10,post,7.079,1.878833333,4,2.128980751,0.075306905,5.740666667,9.916666667,DG3_W,w,22.10.20,4,1,Helped
DG3_W_10,pre,5.538,1.878833333,4,2.128980751,0.075306905,5.740666667,8.416666667,DG3_W,w,22.10.20,4,1,Helped
