trapped.pig.unique.id,group.id,location.opened.box,condition,lat.first.open.min,identity.box.first.opened,opener.unique.id,date,daily.test.order.within.group,group.test.order,test.day,id.first.open.test.box.cond3
DG4_W_9,DG4_W,side,Separation,0.95,Testbox,DG4_W_8,01.12.20,2,4,2,DG4_W_1
DG5_F_2,DG5_F,side,Separation,5.04,Testbox,DG5_F_10,03.02.21,2,6,3,DG5_F_10
DG5_F_9,DG5_F,side,Separation,0.79,Testbox,DG5_F_10,04.02.21,1,7,4,DG5_F_1
DG5_F_1,DG5_F,front,Separation,3.6,Testbox,DG5_F_7,03.02.21,1,5,3,human
DG5_F_3,DG5_F,front,Separation,2.5,Testbox,DG5_F_7,02.02.21,1,3,2,DG5_F_1
DG5_F_10,DG5_F,front,Separation,0.84,Testbox,DG5_F_9,01.02.21,2,2,1,DG5_F_9
DG5_W_10,DG5_W,side,Separation,0.76,Testbox,DG5_W_7,04.02.21,1,7,4,DG5_W_3
DG5_W_8,DG5_W,side,Separation,1.32,Testbox,DG5_W_7,01.02.21,2,2,1,DG5_W_4
DG5_W_2,DG5_W,side,Separation,3.04,Testbox,DG5_W_8,03.02.21,2,6,3,DG5_W_6
DG2_F_2,DG2_F,side,Test,9.29,Emptybox,DG2_F_3,08.09.20,1,3,2,DG2_F_4
DG2_F_4,DG2_F,side,Test,3.69,Testbox,DG2_F_2,09.09.20,2,6,3,DG2_F_2
DG2_F_5,DG2_F,side,Test,1.22,Testbox,DG2_F_2,10.09.20,2,7,4,DG2_F_2
DG2_F_7,DG2_F,front,Test,10.22,Emptybox,DG2_F_3,08.09.20,2,4,2,human
DG2_F_8,DG2_F,side,Test,1.27,Emptybox,DG2_F_3,10.09.20,1,8,4,DG2_F_2
DG2_F_9,DG2_F,front,Test,3.87,Testbox,DG2_F_2,09.09.20,1,5,3,DG2_F_2
DG2_W_1,DG2_W,front,Test,1.92,Emptybox,DG2_W_3,07.09.20,1,1,1,DG2_W_8
DG2_W_2,DG2_W,front,Test,0.21,Testbox,DG2_W_9,09.09.20,1,5,3,DG2_W_9
DG2_W_3,DG2_W,side,Test,0.31,Testbox,DG2_W_9,10.09.20,1,7,4,DG2_W_9
DG2_W_4,DG2_W,front,Test,0.95,Testbox,DG2_W_9,07.09.20,2,2,1,DG2_W_9
DG2_W_5,DG2_W,front,Test,1.36,Testbox,DG2_W_8,08.09.20,2,4,2,DG2_W_8
DG2_W_8,DG2_W,side,Test,0.48,Testbox,DG2_W_9,09.09.20,2,6,3,DG2_W_9
DG2_W_9,DG2_W,side,Test,0.29,Testbox,DG2_W_8,08.09.20,1,3,2,DG2_W_8
DG3_F_1,DG3_F,front,Test,0.49,Testbox,DG3_F_3,23.10.20,1,9,5,DG3_F_3
DG3_F_3,DG3_F,side,Test,1.59,Testbox,DG3_F_1,23.10.20,2,10,5,DG3_F_1
DG3_F_4,DG3_F,front,Test,0.99,Testbox,DG3_F_7,22.10.20,2,8,4,DG3_F_7
DG3_F_5,DG3_F,side,Test,10.16,Emptybox,DG3_F_7,20.10.20,2,4,2,DG3_F_3
DG3_F_7,DG3_F,front,Test,1.38,Testbox,DG3_F_3,21.10.20,1,5,3,DG3_F_3
DG3_F_8,DG3_F,front,Test,7.48,Emptybox,DG3_F_5,22.10.20,1,7,4,DG3_F_6
DG3_F_9,DG3_F,side,Test,7.38,Emptybox,DG3_F_2,19.10.20,1,1,1,DG3_F_2
DG3_W_10,DG3_W,side,Test,1.88,Testbox,DG3_W_5,22.10.20,1,7,4,DG3_W_5
DG3_W_2,DG3_W,front,Test,2.82,Testbox,DG3_W_10,19.10.20,1,1,1,DG3_W_10
DG3_W_3,DG3_W,side,Test,0.57,Testbox,DG3_W_5,23.10.20,1,9,5,DG3_W_5
DG3_W_4,DG3_W,side,Test,3.74,Testbox,DG3_W_6,20.10.20,1,3,2,DG3_W_6
DG3_W_5,DG3_W,side,Test,0.94,Testbox,DG3_W_10,21.10.20,2,6,3,DG3_W_10
DG3_W_6,DG3_W,front,Test,3.04,Testbox,DG3_W_4,23.10.20,2,10,5,DG3_W_4
DG3_W_7,DG3_W,side,Test,2.04,Testbox,DG3_W_4,19.10.20,2,2,1,DG3_W_4
DG3_W_8,DG3_W,side,Test,1.91,Emptybox,DG3_W_4,22.10.20,2,8,4,DG3_W_7
DG3_W_9,DG3_W,front,Test,1.53,Testbox,DG3_W_4,21.10.20,1,5,3,DG3_W_4
DG4_F_1,DG4_F,side,Test,2.32,Testbox,DG4_F_2,03.12.20,2,8,4,DG4_F_2
DG4_F_10,DG4_F,side,Test,3.1,Testbox,DG4_F_5,04.12.20,1,9,5,DG4_F_5
DG4_F_2,DG4_F,front,Test,2.26,Testbox,DG4_F_7,04.12.20,2,10,5,DG4_F_7
DG4_F_3,DG4_F,side,Test,1.85,Testbox,DG4_F_5,30.11.20,1,1,1,DG4_F_5
DG4_F_4,DG4_F,front,Test,6.22,Testbox,DG4_F_5,01.12.20,1,3,2,DG4_F_5
DG4_F_5,DG4_F,front,Test,4.81,Testbox,DG4_F_7,03.12.20,1,7,4,DG4_F_7
DG4_F_6,DG4_F,side,Test,14.77,Testbox,DG4_F_5,01.12.20,2,4,2,DG4_F_5
DG4_F_7,DG4_F,side,Test,1.64,Testbox,DG4_F_1,02.12.20,1,5,3,DG4_F_1
DG4_F_9,DG4_F,side,Test,18.78,Emptybox,DG4_F_8,30.11.20,2,2,1,human
DG4_W_1,DG4_W,side,Test,1.02,Emptybox,DG4_W_8,02.12.20,2,6,3,DG4_W_9
DG4_W_10,DG4_W,side,Test,2.15,Testbox,DG4_W_4,30.11.20,1,1,1,DG4_W_4
DG4_W_2,DG4_W,side,Test,2.12,Testbox,DG4_W_9,03.12.20,2,8,4,DG4_W_9
DG4_W_3,DG4_W,front,Test,1.51,Emptybox,DG4_W_4,04.12.20,1,9,5,DG4_W_5
DG4_W_4,DG4_W,side,Test,3.98,Testbox,DG4_W_5,02.12.20,1,5,3,DG4_W_5
DG4_W_5,DG4_W,side,Test,8.65,Emptybox,DG4_W_8,01.12.20,1,3,2,DG4_W_9
DG4_W_6,DG4_W,front,Test,2.85,Testbox,DG4_W_4,30.11.20,2,2,1,DG4_W_4
DG4_W_7,DG4_W,front,Test,0.85,Testbox,DG4_W_5,03.12.20,1,7,4,DG4_W_5
DG4_W_8,DG4_W,front,Test,16.97,Testbox,DG4_W_2,04.12.20,2,10,5,DG4_W_2
DG4_W_9,DG4_W,side,Test,1.98,Testbox,DG4_W_1,01.12.20,2,4,2,DG4_W_1
DG5_F_1,DG5_F,side,Test,18.41,Emptybox,DG5_F_2,03.02.21,1,5,3,human
DG5_F_10,DG5_F,front,Test,6.76,Testbox,DG5_F_9,01.02.21,2,2,1,DG5_F_9
DG5_F_2,DG5_F,side,Test,2.77,Testbox,DG5_F_10,03.02.21,2,6,3,DG5_F_10
DG5_F_3,DG5_F,front,Test,1.74,Testbox,DG5_F_1,02.02.21,1,3,2,DG5_F_1
DG5_F_4,DG5_F,side,Test,4.88,Testbox,DG5_F_9,02.02.21,2,4,2,DG5_F_9
DG5_F_5,DG5_F,front,Test,2.4,Testbox,DG5_F_1,04.02.21,2,8,4,DG5_F_1
DG5_F_6,DG5_F,front,Test,1.97,Emptybox,DG5_F_3,05.02.21,2,10,5,human
DG5_F_7,DG5_F,front,Test,0.63,Testbox,DG5_F_1,05.02.21,1,9,5,DG5_F_1
DG5_F_8,DG5_F,side,Test,4.61,Testbox,DG5_F_4,01.02.21,1,1,1,DG5_F_4
DG5_F_9,DG5_F,front,Test,2.71,Emptybox,DG5_F_10,04.02.21,1,7,4,DG5_F_1
DG5_W_1,DG5_W,front,Test,0.36,Testbox,DG5_W_7,05.02.21,1,9,5,DG5_W_7
DG5_W_10,DG5_W,side,Test,0.16,Testbox,DG5_W_3,04.02.21,1,7,4,DG5_W_3
DG5_W_2,DG5_W,front,Test,2.98,Emptybox,DG5_W_8,03.02.21,2,6,3,DG5_W_6
DG5_W_3,DG5_W,side,Test,2.66,Emptybox,DG5_W_10,01.02.21,1,1,1,DG5_W_10
DG5_W_4,DG5_W,front,Test,1.29,Testbox,DG5_W_9,02.02.21,2,4,2,DG5_W_9
DG5_W_5,DG5_W,side,Test,1.78,Testbox,DG5_W_6,05.02.21,2,10,5,DG5_W_6
DG5_W_6,DG5_W,side,Test,0.72,Testbox,DG5_W_9,02.02.21,1,3,2,DG5_W_9
DG5_W_7,DG5_W,front,Test,1.71,Testbox,DG5_W_9,03.02.21,1,5,3,DG5_W_9
DG5_W_8,DG5_W,side,Test,0.28,Testbox,DG5_W_4,01.02.21,2,2,1,DG5_W_4
DG5_W_9,DG5_W,front,Test,2.77,Testbox,DG5_W_7,04.02.21,2,8,4,DG5_W_7
