trapped.pig.uniq.id,pot.helper.uniq.id,trial,uniq.group,Test_subj.opens.testbox,Test_subj.opens.emptybox.to20,Sep_numtimes.open.testbox,Sep_numtimes.open.emptybox,Sep_rate.open.testbox_permin,Sep_rate.open.emptybox_permin,Sep.open.any.yn,related,trapped.before,pothelper.sex,train.rate.curio.min,train.rate.open.anybox,dur.look.testwindow.s,rate.look.testwindow.s.per.min,prop.look.test.window,lat.helped.min,dur.look.emptywindow.s,rate.look.emptywindow.s.per.min,prop.look.emptywindow,trapped.pig.sow,trapped.pig.sex,pothelper.mom,location.test.box,date,daily.test.order.bothgroups,daily.test.order.within.group,group.test.order,test.day,Sep_rate.open.anybox
DG2_F_5,DG2_F_4,DG2_F5_100920,DG2_F,0,0,0,1,0,0.16422159,1,y,y,Male,0.675,0.041666667,0,0,0,1.216166667,0,0,0,6235,m,6235,ZG,10.09.20,4.2,1,7,4,0.16422159
DG2_F_5,DG2_F_6,DG2_F5_100920,DG2_F,0,0,0,0,0,0,0,y,y,Female,0.383333334,0.008333334,38.12,31.3443881,0.522406468,1.216166667,0,0,0,6235,m,6235,ZG,10.09.20,4.2,1,7,4,0
DG2_F_5,DG2_F_7,DG2_F5_100920,DG2_F,0,0,0,0,0,0,0,n,y,Male,0.441666667,0.066666667,1.52,1.249828696,0.020830478,1.216166667,0,0,0,6235,m,5952,ZG,10.09.20,4.2,1,7,4,0
DG2_F_5,DG2_F_8,DG2_F5_100920,DG2_F,0,0,0,0,0,0,0,n,n,Male,0.516666667,0,15.28,12.56406742,0.209401124,1.216166667,0,0,0,6235,m,5952,ZG,10.09.20,4.2,1,7,4,0
DG2_F_5,DG2_F_9,DG2_F5_100920,DG2_F,0,0,0,0,0,0,0,n,y,Female,0.3,0,0,0,0,1.216166667,0,0,0,6235,m,5952,ZG,10.09.20,4.2,1,7,4,0
DG2_F_6,DG2_F_2,DG2_F6_070920,DG2_F,0,0,0,0,0,0,0,n,n,Female,0.416666667,0.183333334,3.64,0.182,0.003033333,20,0,0,0,6235,w,6232,FG,07.09.20,1.2,2,2,1,0
DG2_F_6,DG2_F_3,DG2_F6_070920,DG2_F,0,0,0,0,0,0,0,n,y,Female,0.55,0.041666667,7.48,0.374,0.006233333,20,1.04,0.052,8.66667e-4,6235,w,6232,FG,07.09.20,1.2,2,2,1,0
DG2_F_6,DG2_F_4,DG2_F6_070920,DG2_F,0,0,0,0,0,0,0,y,n,Male,0.675,0.041666667,63.64,3.182,0.053033333,20,0,0,0,6235,w,6235,FG,07.09.20,1.2,2,2,1,0
DG2_F_6,DG2_F_5,DG2_F6_070920,DG2_F,0,0,0,0,0,0,0,y,n,Male,0.433333334,0.016666667,3.88,0.194,0.003233333,20,0.6,0.03,5e-4,6235,w,6235,FG,07.09.20,1.2,2,2,1,0
DG2_F_6,DG2_F_7,DG2_F6_070920,DG2_F,0,0,0,0,0,0,0,n,n,Male,0.441666667,0.066666667,74.2,3.71,0.061833333,20,0,0,0,6235,w,5952,FG,07.09.20,1.2,2,2,1,0
DG2_F_6,DG2_F_8,DG2_F6_070920,DG2_F,0,0,0,0,0,0,0,n,n,Male,0.516666667,0,70.44,3.522,0.0587,20,0,0,0,6235,w,5952,FG,07.09.20,1.2,2,2,1,0
DG2_F_6,DG2_F_9,DG2_F6_070920,DG2_F,0,0,0,0,0,0,0,n,n,Female,0.3,0,23.24,1.162,0.019366667,20,0,0,0,6235,w,5952,FG,07.09.20,1.2,2,2,1,0
DG2_F_7,DG2_F_2,DG2_F7_080920,DG2_F,0,0,0,0,0,0,0,n,y,Female,0.416666667,0.183333334,11.72,0.586,0.009766667,20,3.24,0.162,0.0027,5952,m,6232,ZG,08.09.20,2.4,2,4,2,0
DG2_F_7,DG2_F_3,DG2_F7_080920,DG2_F,0,1,0,0,0,0,0,n,y,Female,0.55,0.041666667,62.4,3.12,0.052,20,9.8,0.49,0.008166667,5952,m,6232,ZG,08.09.20,2.4,2,4,2,0
DG2_F_7,DG2_F_4,DG2_F7_080920,DG2_F,0,0,0,0,0,0,0,n,n,Male,0.675,0.041666667,20.72,1.036,0.017266667,20,0,0,0,5952,m,6235,ZG,08.09.20,2.4,2,4,2,0
DG2_F_7,DG2_F_5,DG2_F7_080920,DG2_F,0,0,0,0,0,0,0,n,n,Male,0.433333334,0.016666667,0,0,0,20,0,0,0,5952,m,6235,ZG,08.09.20,2.4,2,4,2,0
DG2_F_7,DG2_F_6,DG2_F7_080920,DG2_F,0,0,0,0,0,0,0,n,y,Female,0.383333334,0.008333334,66.2,3.31,0.055166667,20,14.76,0.738,0.0123,5952,m,6235,ZG,08.09.20,2.4,2,4,2,0
DG2_F_7,DG2_F_8,DG2_F7_080920,DG2_F,0,0,0,0,0,0,0,y,n,Male,0.516666667,0,6.48,0.324,0.0054,20,1,0.05,8.33333e-4,5952,m,5952,ZG,08.09.20,2.4,2,4,2,0
DG2_F_7,DG2_F_9,DG2_F7_080920,DG2_F,0,0,0,0,0,0,0,y,n,Female,0.3,0,50.92,2.546,0.042433333,20,0,0,0,5952,m,5952,ZG,08.09.20,2.4,2,4,2,0
DG2_F_8,DG2_F_2,DG2_F8_100920,DG2_F,1,0,0,0,0,0,0,n,y,Female,0.416666667,0.183333334,10.52,6.579797771,0.109663296,1.598833333,0,0,0,5952,m,6232,FG,10.09.20,4.3,2,8,4,0
DG2_F_8,DG2_F_3,DG2_F8_100920,DG2_F,0,1,0,0,0,0,0,n,y,Female,0.55,0.041666667,11.04,6.905034923,0.115083915,1.598833333,1.36,0.850620244,0.014177004,5952,m,6232,FG,10.09.20,4.3,2,8,4,0
DG2_F_8,DG2_F_4,DG2_F8_100920,DG2_F,0,0,0,0,0,0,0,n,y,Male,0.675,0.041666667,4.68,2.927134369,0.048785573,1.598833333,0,0,0,5952,m,6235,FG,10.09.20,4.3,2,8,4,0
DG2_F_8,DG2_F_5,DG2_F8_100920,DG2_F,0,0,0,0,0,0,0,n,y,Male,0.433333334,0.016666667,2.44,1.526112791,0.025435213,1.598833333,0,0,0,5952,m,6235,FG,10.09.20,4.3,2,8,4,0
DG2_F_8,DG2_F_6,DG2_F8_100920,DG2_F,0,0,0,0,0,0,0,n,y,Female,0.383333334,0.008333334,0,0,0,1.598833333,0,0,0,5952,m,6235,FG,10.09.20,4.3,2,8,4,0
DG2_F_8,DG2_F_7,DG2_F8_100920,DG2_F,0,0,0,0,0,0,0,y,y,Male,0.441666667,0.066666667,7.88,4.928593767,0.082143229,1.598833333,0,0,0,5952,m,5952,FG,10.09.20,4.3,2,8,4,0
DG2_F_8,DG2_F_9,DG2_F8_100920,DG2_F,0,0,0,0,0,0,0,y,y,Female,0.3,0,5.96,3.727718129,0.062128635,1.598833333,2.2,1.376003336,0.022933389,5952,m,5952,FG,10.09.20,4.3,2,8,4,0
DG2_F_9,DG2_F_2,DG2_F9_090920,DG2_F,1,0,0,1,0,0.173120203,1,n,y,Female,0.416666667,0.183333334,14.12,3.646537253,0.060775621,3.872166667,0,0,0,5952,w,6232,FG,09.09.20,3.1,1,5,3,0.173120203
DG2_F_9,DG2_F_3,DG2_F9_090920,DG2_F,0,0,0,0,0,0,0,n,y,Female,0.55,0.041666667,12.32,3.181681229,0.05302802,3.872166667,2.8,0.72310937,0.012051823,5952,w,6232,FG,09.09.20,3.1,1,5,3,0
DG2_F_9,DG2_F_4,DG2_F9_090920,DG2_F,0,0,0,0,0,0,0,n,n,Male,0.675,0.041666667,22.36,5.774544828,0.096242414,3.872166667,0,0,0,5952,w,6235,FG,09.09.20,3.1,1,5,3,0
