trapped.pig.unique.id,id.group,sex,location,helper,condition,compartment,opened.comp,date,daily.test.order.within.group,group.test.order,test.day
DG3_F_2,DG3_F,m,Side,Human,test,testbox,0,21.10.20,2,6,3
DG3_F_3,DG3_F,f,Side,Pig,separation,testbox,0,23.10.20,2,10,5
DG3_F_3,DG3_F,f,Front,Pig,test,emptybox,1,23.10.20,2,10,5
DG3_F_3,DG3_F,f,Front,Pig,separation,emptybox,0,23.10.20,2,10,5
DG3_F_3,DG3_F,f,Side,Pig,test,testbox,1,23.10.20,2,10,5
DG3_F_4,DG3_F,f,Front,Pig,test,testbox,1,22.10.20,2,8,4
DG3_F_4,DG3_F,f,Side,Pig,test,emptybox,1,22.10.20,2,8,4
DG3_F_4,DG3_F,f,Front,Pig,separation,testbox,0,22.10.20,2,8,4
DG3_F_4,DG3_F,f,Side,Pig,separation,emptybox,1,22.10.20,2,8,4
DG3_F_5,DG3_F,f,Front,Pig,separation,testbox,0,20.10.20,2,4,2
DG3_F_5,DG3_F,f,Side,Pig,test,emptybox,1,20.10.20,2,4,2
DG3_F_5,DG3_F,f,Front,Pig,test,testbox,1,20.10.20,2,4,2
DG3_F_5,DG3_F,f,Side,Pig,separation,emptybox,0,20.10.20,2,4,2
DG3_F_7,DG3_F,m,Front,Pig,separation,testbox,0,21.10.20,1,5,3
DG3_F_7,DG3_F,m,Side,Pig,test,emptybox,0,21.10.20,1,5,3
DG3_F_7,DG3_F,m,Front,Pig,test,testbox,1,21.10.20,1,5,3
DG3_F_7,DG3_F,m,Side,Pig,separation,emptybox,0,21.10.20,1,5,3
DG3_F_8,DG3_F,m,Front,Pig,test,emptybox,1,22.10.20,1,7,4
DG3_F_8,DG3_F,m,Side,Pig,separation,testbox,1,22.10.20,1,7,4
DG3_F_8,DG3_F,m,Side,Pig,test,testbox,1,22.10.20,1,7,4
DG3_F_8,DG3_F,m,Front,Pig,separation,emptybox,1,22.10.20,1,7,4
DG3_F_9,DG3_F,f,Side,Pig,test,emptybox,1,19.10.20,1,1,1
DG3_F_9,DG3_F,f,Front,Pig,separation,testbox,0,19.10.20,1,1,1
DG3_F_9,DG3_F,f,Front,Pig,test,testbox,1,19.10.20,1,1,1
DG3_F_9,DG3_F,f,Side,Pig,separation,emptybox,0,19.10.20,1,1,1
DG3_W_1,DG3_W,m,Front,Human,test,testbox,0,20.10.20,2,4,2
DG3_W_1,DG3_W,m,Side,Human,separation,emptybox,1,20.10.20,2,4,2
DG3_W_1,DG3_W,m,Side,Human,test,emptybox,0,20.10.20,2,4,2
DG3_W_1,DG3_W,m,Front,Human,separation,testbox,0,20.10.20,2,4,2
DG3_W_10,DG3_W,f,Side,Pig,test,testbox,1,22.10.20,1,7,4
DG3_W_10,DG3_W,f,Front,Pig,test,emptybox,0,22.10.20,1,7,4
DG3_W_10,DG3_W,f,Front,Pig,separation,emptybox,0,22.10.20,1,7,4
