trapped.pig.uniq.id,sow,sex,group.trapped.pig.order,location.test.box,interval_count,interval.dur,number.of.intervals,min.status,screams,screams.prop,escapes,invest.door,invest.door.prop,invest.window,invest.window.prop,outcome1,outcome2,outcome3,lat.helped.min,trapped.date,uniq.group,time.trial.begins,change.cort,time.post.sample,interval_time,ordinal.group.order,distress,distress.rate.per.min,window.rate.per.min
DG3_W_6,6073,Male,10,Front,2,60,4,trapped,0,0,0,0,0,3,0.05,Helped,Trapped_over_3_mns,Full_trial,3.0355,2020-10-23,DG3_W,13.33333333,1.079,13.63333333,100.600-160.600,10,0,0,3
DG3_W_6,6073,Male,10,Front,3,60,4,trapped,1,0.016666667,0,1,0.016666667,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,3.0355,2020-10-23,DG3_W,13.33333333,1.079,13.63333333,160.600-220.600,10,1,1,2
DG3_W_6,6073,Male,10,Front,4,2.24,4,free,0,0,0,0,0,0,0,Helped,Trapped_over_3_mns,Full_trial,3.0355,2020-10-23,DG3_W,13.33333333,1.079,13.63333333,220.600-222.840,10,0,0,0
DG4_F_10,6188,Female,9,Side,1,60,4,trapped,0,0,1,3,0.05,7,0.116666667,Helped,Trapped_over_3_mns,Full_trial,3.100666667,2020-12-04,DG4_F,13.05,3.285,13.38333333,40.400-100.400,9,1,1,7
DG4_F_10,6188,Female,9,Side,2,60,4,trapped,1,0.016666667,3,1,0.016666667,4,0.066666667,Helped,Trapped_over_3_mns,Full_trial,3.100666667,2020-12-04,DG4_F,13.05,3.285,13.38333333,100.400-160.400,9,4,4,4
DG4_F_10,6188,Female,9,Side,3,60,4,trapped,4,0.066666667,5,0,0,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,3.100666667,2020-12-04,DG4_F,13.05,3.285,13.38333333,160.400-220.400,9,9,9,2
DG4_F_10,6188,Female,9,Side,4,4.92,4,free,1,0.203252033,0,1,0.203252033,0,0,Helped,Trapped_over_3_mns,Full_trial,3.100666667,2020-12-04,DG4_F,13.05,3.285,13.38333333,220.400-225.320,9,1,12.195121951219512,0
DG4_W_4,6197,Female,5,Side,1,60,4,trapped,2,0.033333333,0,3,0.05,6,0.1,Helped,Trapped_over_3_mns,Full_trial,3.98,2020-12-02,DG4_W,10.1,1.192,10.5,29.160-89.160,5,2,2,6
DG4_W_4,6197,Female,5,Side,2,60,4,trapped,1,0.016666667,0,3,0.05,4,0.066666667,Helped,Trapped_over_3_mns,Full_trial,3.98,2020-12-02,DG4_W,10.1,1.192,10.5,89.160-149.160,5,1,1,4
DG4_W_4,6197,Female,5,Side,3,60,4,trapped,0,0,2,3,0.05,3,0.05,Helped,Trapped_over_3_mns,Full_trial,3.98,2020-12-02,DG4_W,10.1,1.192,10.5,149.160-209.160,5,2,2,3
DG4_W_4,6197,Female,5,Side,4,56.16,4,free,1,0.017806268,0,2,0.035612536,3,0.053418803,Helped,Trapped_over_3_mns,Full_trial,3.98,2020-12-02,DG4_W,10.1,1.192,10.5,209.160-265.320,5,1,1.0683760683760684,3.2051282051282053
DG3_F_6,6369,Male,3,Side,1,60,4,trapped,3,0.05,3,3,0.05,2,0.033333333,Not helped,Trapped_over_3_mns,Aborted_trial,3.3,2020-10-20,DG3_F,13.16666667,0.499,13.5,39.240-99.240,3,6,6,2
DG3_F_6,6369,Male,3,Side,2,60,4,trapped,6,0.1,4,0,0,4,0.066666667,Not helped,Trapped_over_3_mns,Aborted_trial,3.3,2020-10-20,DG3_F,13.16666667,0.499,13.5,99.240-159.240,3,10,10,4
DG3_F_6,6369,Male,3,Side,3,60,4,trapped,6,0.1,4,0,0,1,0.016666667,Not helped,Trapped_over_3_mns,Aborted_trial,3.3,2020-10-20,DG3_F,13.16666667,0.499,13.5,159.240-219.240,3,10,10,1
DG3_F_6,6369,Male,3,Side,4,16.68,4,trapped,2,0.119904077,1,1,0.059952038,0,0,Not helped,Trapped_over_3_mns,Aborted_trial,3.3,2020-10-20,DG3_F,13.16666667,0.499,13.5,219.240-235.920,3,3,10.79136690647482,0
DG4_F_5,6099,Female,7,Front,1,60,5,trapped,1,0.016666667,0,6,0.1,8,0.133333333,Helped,Trapped_over_3_mns,Full_trial,4.809333333,2020-12-03,DG4_F,9.616666667,8.37,10,51.080-111.080,7,1,1,8
DG4_F_5,6099,Female,7,Front,2,60,5,trapped,0,0,1,5,0.083333333,5,0.083333333,Helped,Trapped_over_3_mns,Full_trial,4.809333333,2020-12-03,DG4_F,9.616666667,8.37,10,111.080-171.080,7,1,1,5
DG4_F_5,6099,Female,7,Front,3,60,5,trapped,0,0,0,1,0.016666667,3,0.05,Helped,Trapped_over_3_mns,Full_trial,4.809333333,2020-12-03,DG4_F,9.616666667,8.37,10,171.080-231.080,7,0,0,3
DG4_F_5,6099,Female,7,Front,4,60,5,trapped,6,0.1,0,0,0,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,4.809333333,2020-12-03,DG4_F,9.616666667,8.37,10,231.080-291.080,7,6,6,2
DG4_F_5,6099,Female,7,Front,5,45.84,5,free,4,0.087260035,0,0,0,2,0.043630017,Helped,Trapped_over_3_mns,Full_trial,4.809333333,2020-12-03,DG4_F,9.616666667,8.37,10,291.080-336.920,7,4,5.2356020942408374,2.6178010471204187
DG5_F_4,6421,Female,4,Side,1,60,5,trapped,0,0,0,1,0.016666667,7,0.116666667,Helped,Trapped_over_3_mns,Full_trial,4.880666667,2021-02-02,DG5_F,12.68333333,0.161,13.08333333,101.640-161.640,4,0,0,7
DG5_F_4,6421,Female,4,Side,2,60,5,trapped,2,0.033333333,0,1,0.016666667,3,0.05,Helped,Trapped_over_3_mns,Full_trial,4.880666667,2021-02-02,DG5_F,12.68333333,0.161,13.08333333,161.640-221.640,4,2,2,3
DG5_F_4,6421,Female,4,Side,3,60,5,trapped,1,0.016666667,1,1,0.016666667,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,4.880666667,2021-02-02,DG5_F,12.68333333,0.161,13.08333333,221.640-281.640,4,2,2,2
DG5_F_4,6421,Female,4,Side,4,60,5,trapped,0,0,0,0,0,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,4.880666667,2021-02-02,DG5_F,12.68333333,0.161,13.08333333,281.640-341.640,4,0,0,2
DG5_F_4,6421,Female,4,Side,5,51.32,5,free,0,0,0,1,0.019485581,1,0.019485581,Helped,Trapped_over_3_mns,Full_trial,4.880666667,2021-02-02,DG5_F,12.68333333,0.161,13.08333333,341.640-392.960,4,0,0,1.1691348402182384
DG5_F_8,6407,Male,1,Side,1,60,5,trapped,0,0,1,2,0.033333333,10,0.166666667,Helped,Trapped_over_3_mns,Full_trial,4.610666667,2021-02-01,DG5_F,9.7,6.509,10.13333333,36.360-96.360,1,1,1,10
DG5_F_8,6407,Male,1,Side,2,60,5,trapped,0,0,2,0,0,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,4.610666667,2021-02-01,DG5_F,9.7,6.509,10.13333333,96.360-156.360,1,2,2,2
DG5_F_8,6407,Male,1,Side,3,60,5,trapped,0,0,2,0,0,5,0.083333333,Helped,Trapped_over_3_mns,Full_trial,4.610666667,2021-02-01,DG5_F,9.7,6.509,10.13333333,156.360-216.360,1,2,2,5
DG5_F_8,6407,Male,1,Side,4,60,5,trapped,2,0.033333333,1,0,0,3,0.05,Helped,Trapped_over_3_mns,Full_trial,4.610666667,2021-02-01,DG5_F,9.7,6.509,10.13333333,216.360-276.360,1,3,3,3
DG5_F_8,6407,Male,1,Side,5,30.56,5,free,0,0,0,0,0,1,0.032722513,Helped,Trapped_over_3_mns,Full_trial,4.610666667,2021-02-01,DG5_F,9.7,6.509,10.13333333,276.360-306.920,1,0,0,1.9633507853403143
DG2_W_1,6142,Male,1,Side,1,60,6,trapped,0,0,0,0,0,5,0.083333333,Helped,Trapped_over_3_mns,Full_trial,5.1755,2020-09-07,DG2_W,14.75,2.362,15.16666667,283.880-343.880,1,0,0,5
DG2_W_1,6142,Male,1,Side,2,60,6,trapped,0,0,0,0,0,4,0.066666667,Helped,Trapped_over_3_mns,Full_trial,5.1755,2020-09-07,DG2_W,14.75,2.362,15.16666667,343.880-403.880,1,0,0,4
DG2_W_1,6142,Male,1,Side,3,60,6,trapped,0,0,0,1,0.016666667,0,0,Helped,Trapped_over_3_mns,Full_trial,5.1755,2020-09-07,DG2_W,14.75,2.362,15.16666667,403.880-463.880,1,0,0,0
DG2_W_1,6142,Male,1,Side,4,60,6,trapped,0,0,0,1,0.016666667,2,0.033333333,Helped,Trapped_over_3_mns,Full_trial,5.1755,2020-09-07,DG2_W,14.75,2.362,15.16666667,463.880-523.880,1,0,0,2
DG2_W_1,6142,Male,1,Side,5,60,6,trapped,0,0,0,1,0.016666667,0,0,Helped,Trapped_over_3_mns,Full_trial,5.1755,2020-09-07,DG2_W,14.75,2.362,15.16666667,523.880-583.880,1,0,0,0
